,year,artist.inverted,track,time,genre,date.entered,date.peaked,Week,Ranking
0,2000,Destiny's Child,Independent Women Part I,218,Rock,2000-09-23,2000-11-18,week1,78.0
1,2000,Santana,"Maria, Maria",258,Rock,2000-02-12,2000-04-08,week1,15.0
2,2000,Savage Garden,I Knew I Loved You,247,Rock,1999-10-23,2000-01-29,week1,71.0
3,2000,Madonna,Music,225,Rock,2000-08-12,2000-09-16,week1,41.0
4,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),218,Rock,2000-08-05,2000-10-14,week1,57.0
5,2000,Janet,Doesn't Really Matter,257,Rock,2000-06-17,2000-08-26,week1,59.0
6,2000,Destiny's Child,Say My Name,271,Rock,1999-12-25,2000-03-18,week1,83.0
7,2000,"Iglesias, Enrique",Be With You,216,Latin,2000-04-01,2000-06-24,week1,63.0
8,2000,Sisqo,Incomplete,232,Rock,2000-06-24,2000-08-12,week1,77.0
9,2000,Lonestar,Amazed,265,Country,1999-06-05,2000-03-04,week1,81.0
10,2000,N'Sync,It's Gonna Be Me,190,Rock,2000-05-06,2000-07-29,week1,82.0
11,2000,"Aguilera, Christina",What A Girl Wants,198,Rock,1999-11-27,2000-01-15,week1,71.0
12,2000,Vertical Horizon,Everything You Want,241,Rock,2000-01-22,2000-07-15,week1,70.0
13,2000,Creed,With Arms Wide Open,232,Rock,2000-05-13,2000-11-11,week1,84.0
14,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week1,59.0
15,2000,matchbox twenty,Bent,252,Rock,2000-04-29,2000-07-22,week1,60.0
16,2000,"Carey, Mariah",Thank God I Found You,254,Rock,1999-12-11,2000-02-19,week1,82.0
17,2000,"Hill, Faith",Breathe,244,Rap,1999-11-06,2000-04-22,week1,81.0
18,2000,Mya,Case Of The Ex (Whatcha Gonna Do),230,Rock,2000-08-19,2000-12-02,week1,72.0
19,2000,Dream,He Loves U Not,223,Rock,2000-09-30,2000-12-30,week1,99.0
20,2000,"Braxton, Toni",He Wasn't Man Enough,261,Rock,2000-03-18,2000-05-06,week1,63.0
21,2000,"Anthony, Marc",You Sang To Me,230,Latin,2000-02-26,2000-06-03,week1,77.0
22,2000,98¡,Give Me Just One Night (Una Noche),204,Rock,2000-08-19,2000-09-30,week1,51.0
23,2000,Destiny's Child,Jumpin' Jumpin',228,Rock,2000-05-13,2000-08-19,week1,74.0
24,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week1,81.0
25,2000,Sisqo,Thong Song,245,Rock,2000-01-29,2000-05-20,week1,74.0
26,2000,"Aguilera, Christina",I Turn To You,240,Rock,2000-04-15,2000-07-01,week1,50.0
27,2000,"Houston, Whitney",My Love Is Your Love,256,Rock,1999-09-04,2000-01-08,week1,81.0
28,2000,Joe,I Wanna Know,297,Rock,2000-01-01,2000-07-01,week1,94.0
29,2000,"Jordan, Montell",Get It On.. Tonite,274,Rap,1999-10-23,2000-02-12,week1,92.0
30,2000,N'Sync,Bye Bye Bye,195,Rock,2000-01-29,2000-04-15,week1,42.0
