artist.inverted,track,time,genre,date.entered,date.peaked,Week,Ranking
2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,Rap,2000-02-26,2000-03-11,week1,87.0
2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,Rap,2000-02-26,2000-03-11,week2,82.0
2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,Rap,2000-02-26,2000-03-11,week3,72.0
2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,Rap,2000-02-26,2000-03-11,week4,77.0
2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,Rap,2000-02-26,2000-03-11,week5,87.0
2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,Rap,2000-02-26,2000-03-11,week6,94.0
2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,Rap,2000-02-26,2000-03-11,week7,99.0
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),195,R&B,2000-09-02,2000-09-09,week1,91.0
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),195,R&B,2000-09-02,2000-09-09,week2,87.0
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),195,R&B,2000-09-02,2000-09-09,week3,92.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week1,81.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week10,51.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week11,51.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week12,51.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week13,47.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week14,44.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week15,38.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week16,28.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week17,22.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week18,18.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week19,18.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week2,70.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week20,14.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week21,12.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week22,7.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week23,6.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week24,6.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week25,6.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week26,5.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week27,5.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week28,4.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week29,4.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week3,68.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week30,4.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week31,4.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week32,3.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week33,3.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week34,3.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week35,4.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week36,5.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week37,5.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week38,9.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week39,9.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week4,67.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week40,15.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week41,14.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week42,13.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week43,14.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week44,16.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week45,17.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week46,21.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week47,22.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week48,24.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week49,28.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week5,66.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week50,33.0
3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week51,42.0
