,index,year,artist.inverted,track,time,genre,date.entered,date.peaked,Week,Ranking
0,11436,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week37,5.0
18,3192,2000,98¡,Give Me Just One Night (Una Noche),204,Rock,2000-08-19,2000-09-30,week11,7.0
23,6988,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week23,6.0
38,4132,2000,"Aguilera, Christina",What A Girl Wants,198,Rock,1999-11-27,2000-01-15,week14,4.0
39,2540,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),218,Rock,2000-08-05,2000-10-14,week9,9.0
41,4464,2000,"Aguilera, Christina",I Turn To You,240,Rock,2000-04-15,2000-07-01,week15,10.0
57,4142,2000,"Anthony, Marc",You Sang To Me,230,Latin,2000-02-26,2000-06-03,week14,5.0
63,4160,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,234,Rock,2000-01-01,2000-03-18,week14,6.0
68,2588,2000,"Backstreet Boys, The",Shape Of My Heart,229,Rock,2000-10-14,2000-12-02,week9,10.0
74,2263,2000,"Badu, Erkyah",Bag Lady,303,Rock,2000-08-19,2000-10-07,week8,6.0
78,5423,2000,Blaque,Bring It All To Me,226,Pop,1999-10-23,2000-01-22,week18,9.0
87,3846,2000,Blink-182,All The Small Things,172,Rock,1999-12-04,2000-02-19,week13,8.0
92,2873,2000,"Braxton, Toni",He Wasn't Man Enough,261,Rock,2000-03-18,2000-05-06,week10,4.0
99,2869,2000,"Carey, Mariah",Thank God I Found You,254,Rock,1999-12-11,2000-02-19,week10,2.0
103,8889,2000,Creed,With Arms Wide Open,232,Rock,2000-05-13,2000-11-11,week29,2.0
105,13677,2000,Creed,Higher,316,Rock,1999-09-11,2000-07-22,week44,9.0
127,6657,2000,Destiny's Child,Independent Women Part I,218,Rock,2000-09-23,2000-11-18,week22,7.0
128,3810,2000,Destiny's Child,Say My Name,271,Rock,1999-12-25,2000-03-18,week13,1.0
132,7631,2000,Destiny's Child,Jumpin' Jumpin',228,Rock,2000-05-13,2000-08-19,week25,6.0
171,6381,2000,"Dion, Celine",That's The Way It Is,243,Rock,1999-11-13,2000-03-04,week21,9.0
180,6993,2000,Dream,He Loves U Not,223,Rock,2000-09-30,2000-12-30,week23,10.0
191,2896,2000,Eiffel 65,Blue (Da Ba Dee),209,Electronica,1999-12-11,2000-01-29,week10,9.0
195,1620,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,231,Rap,1999-11-27,2000-01-08,week6,7.0
205,2250,2000,Eminem,The Real Slim Shady,282,Rap,2000-05-06,2000-06-24,week8,4.0
212,4157,2000,"Gray, Macy",I Try,232,Rock,2000-02-19,2000-05-20,week14,5.0
221,8259,2000,"Hill, Faith",Breathe,244,Rap,1999-11-06,2000-04-22,week27,3.0
240,3197,2000,"Houston, Whitney",My Love Is Your Love,256,Rock,1999-09-04,2000-01-08,week11,8.0
257,3177,2000,"Iglesias, Enrique",Be With You,216,Latin,2000-04-01,2000-06-24,week11,5.0
267,5077,2000,Janet,Doesn't Really Matter,257,Rock,2000-06-17,2000-08-26,week17,3.0
279,10489,2000,Joe,I Wanna Know,297,Rock,2000-01-01,2000-07-01,week34,8.0
295,5101,2000,"Jordan, Montell",Get It On.. Tonite,274,Rap,1999-10-23,2000-02-12,week17,4.0
307,683,2000,Kenny G,Auld Lang Syne (The Millenium Mix),470,Jazz,1999-12-25,2000-01-08,week3,7.0
309,15225,2000,Lonestar,Amazed,265,Country,1999-06-05,2000-03-04,week49,9.0
321,2539,2000,Madonna,Music,225,Rock,2000-08-12,2000-09-16,week9,1.0
333,4154,2000,"Mumba, Samantha",Gotta Tell You,199,Rock,2000-09-09,2000-12-09,week14,4.0
342,7309,2000,Mya,Case Of The Ex (Whatcha Gonna Do),230,Rock,2000-08-19,2000-12-02,week24,8.0
355,2566,2000,N'Sync,Bye Bye Bye,195,Rock,2000-01-29,2000-04-15,week9,5.0
356,3814,2000,N'Sync,It's Gonna Be Me,190,Rock,2000-05-06,2000-07-29,week13,1.0
362,2573,2000,N'Sync,This I Promise You,263,Rock,2000-09-30,2000-12-02,week9,6.0
387,6387,2000,Nelly,(Hot S**t) Country Grammar,257,Rap,2000-04-29,2000-09-16,week21,7.0
392,5120,2000,Next,Wifey,243,Rock,2000-05-27,2000-09-09,week17,10.0
395,4161,2000,Nine Days,Absolutely (Story Of A Girl),189,Rock,2000-05-06,2000-07-22,week14,8.0
402,1947,2000,Pink,There U Go,203,Rock,2000-03-04,2000-04-08,week7,7.0
403,5421,2000,Pink,Most Girls,246,Rock,2000-08-12,2000-11-25,week18,8.0
418,3525,2000,Ruff Endz,No More,236,Rock,2000-07-01,2000-09-02,week12,8.0
424,3488,2000,Santana,"Maria, Maria",258,Rock,2000-02-12,2000-04-08,week12,1.0
442,5391,2000,Savage Garden,I Knew I Loved You,247,Rock,1999-10-23,2000-01-29,week18,2.0
459,5097,2000,Sisqo,Thong Song,245,Rock,2000-01-29,2000-05-20,week17,3.0
460,2227,2000,Sisqo,Incomplete,232,Rock,2000-06-24,2000-08-12,week8,1.0
485,4805,2000,Sonique,It Feels So Good,228,Rock,2000-01-22,2000-04-22,week16,10.0
488,2904,2000,"Spears, Britney",Oops!.. I Did It Again,210,Rock,2000-04-22,2000-06-10,week10,10.0
491,7303,2000,Vertical Horizon,Everything You Want,241,Rock,2000-01-22,2000-07-15,week24,6.0
510,5404,2000,matchbox twenty,Bent,252,Rock,2000-04-29,2000-07-22,week18,3.0
