,index,year,artist.inverted,track,time,genre,date.entered,date.peaked,Week,Ranking
0,11436,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week37,5.0
1,9217,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week30,4.0
2,10485,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week34,3.0
3,7315,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week24,6.0
4,10802,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week35,4.0
5,9534,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week31,4.0
6,12070,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week39,9.0
7,11119,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week36,5.0
8,8583,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week28,4.0
9,6681,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week22,7.0
10,10168,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week33,3.0
11,7949,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week26,5.0
12,8900,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week29,4.0
13,11753,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week38,9.0
14,6998,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week23,6.0
15,7632,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week25,6.0
16,9851,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week32,3.0
17,8266,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,week27,5.0
18,3192,2000,98¡,Give Me Just One Night (Una Noche),204,Rock,2000-08-19,2000-09-30,week11,7.0
19,1924,2000,98¡,Give Me Just One Night (Una Noche),204,Rock,2000-08-19,2000-09-30,week7,2.0
20,2241,2000,98¡,Give Me Just One Night (Una Noche),204,Rock,2000-08-19,2000-09-30,week8,2.0
21,2875,2000,98¡,Give Me Just One Night (Una Noche),204,Rock,2000-08-19,2000-09-30,week10,6.0
22,2558,2000,98¡,Give Me Just One Night (Una Noche),204,Rock,2000-08-19,2000-09-30,week9,3.0
23,6988,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week23,6.0
24,2867,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week10,10.0
25,5403,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week18,2.0
26,6671,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week22,5.0
27,3501,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week12,8.0
28,5086,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week17,2.0
29,4135,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week14,1.0
30,6037,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week20,4.0
31,3818,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week13,6.0
32,4769,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week16,2.0
33,6354,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week21,5.0
34,4452,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,week15,2.0
