,Company,Location,Salary,Search City,Summary,Title
0,        SYSCO,"Houston, TX 77038",,Houston,"Build predictive analytics models with Python to generate actionable insights at the level of individual customers, such as cross-sell opportunities and churn...",Sr Data Scientist
1,    alliantgroup,"Houston, TX",,Houston,"Engineers, and scientists to identify and substantiate cash-generating tax. As a Project Associate, you will work in a team environment....",Project Associate
2,    Arundo Analytics,"Houston, TX",,Houston,"Senior Data Scientist with expertise in machine learning, artificial intelligence, statistical data analytics, and applications....",Machine Learning Expert
3,    Quantlab Financial,"Houston, TX",,Houston,Technology and Scientific Research are central to our business and key to our success. Generous benefit plan structure including an option for fully paid health...,Quantitative Research Scientist - Options Strategist
4,        Exxon Mobil,"Houston, TX",,Houston,"Experience in relevant areas of scientific expertise (e.g., machine learning, numerical methods, signal processing, statistics, mathematics, and optimization)....",Data Scientist
5,    Pros.,"Houston, TX",,Houston,Machine Learning and Data Science. In this role you will work in teams to unearth business insights through data mining and to innovate and implement cutting...,Scientist I
6,        Reed Elsevier,"Houston, TX",,Houston,"A global company based in Amsterdam, Elsevier partners with scientists, researchers, healthcare providers, educators and decision-makers in academic...",Psychometrician – Data Analyst
7,        Shell,"Houston, TX",,Houston,"Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Quantitative Risk Analyst (Houston, TX)"
8,"    Enaxis Consulting, LP","Houston, TX 77046 (Montrose area)",,Houston,"Work with data scientists, visualization specialists, and analytic specialists’ to understand data, project success criteria and related to business processes....",Analytics Data Engineer
9,        SYSCO,"Houston, TX 77038",,Houston,"Build predictive analytics models with Python to generate actionable insights at the level of individual customers, such as cross-sell opportunities and churn...",Sr Data Scientist
10,        National Oilwell Varco,"Houston, TX",,Houston,"Data mining, Feature. Data analytics solutions for challenging engineering and reliability problems. Data Science responsibilities include:....",Data Scientist
11,"        Noble Energy, Inc.","Houston, TX 77070",,Houston,"Continually enhance the advanced analytics program by staying up to date on the latest data science, advanced analytics, and big data trends....",Data Scientist
12,        Houston Methodist,"Houston, TX 77030 (Medical area)",,Houston,"Analyzes data and interprets data (EF). This includes scientists who are not on an independent path in terms of external grant funding and publications, and...",Research Scientist
13,    Arundo Analytics,"Houston, TX",,Houston,Demonstrated experience in working with subject matter experts (as part of a cross functional or client/consultant team) to clean or use data....,Senior Analyst/ Data engineer
14,        MD Anderson Cancer Center,"Houston, TX",,Houston,Collaboration with scientists in other functional areas on design of experiments to validate novel neuroscience targets and to advance programs....,"Institute Senior Research Scientist, Medicinal Chemistry Neu..."
15,        Amazon Corporate LLC,United States,,Houston,"In North America alone, we process 50B requests in under 30ms and evaluate our machine learned models to recommend the best response using our deep data....",Software Development Engineer- Relocation Opportunity
16,        MD Anderson Cancer Center,"Houston, TX",,Houston,"As part of the MD Anderson Cancer Center Moon Shot initiative, we have created an exceptional, integrated environment where industry seasoned scientists work...",Institute Research Scientist -Immuno-oncology
17,        BOEING,"Houston, TX",,Houston,"Skilled scientists and thinkers. Manage and monitor supplier performance, capability, capacity and business health and report status, issues and concerns....",Senior Supply Base Management Specialist
