,index,Company,Location,Salary,Search City,Summary,Title,Yearly Salary
0,22,    SearchAccountingJobs,"Houston, TX",150000  205000 a year,Houston,"Lead the review and care of relevant model and model validation documentation, complete in depth analysis on large data sets, and formulate analysis and reports...",Quantitative Risk Analyst,177500.0
1,24,        MD Anderson Cancer Center,"Houston, TX",45500  82000 a year,Houston,"The University of Texas MD Anderson Cancer Center in Houston is one of the world's most respected centers focused on cancer patient care, research, education",Research Admin Analyst,63750.0
2,33,        Clearpoint,"Houston, TX",64.50 a day,Houston,Support our Search Science projects using Text Analytics and Machine Learning techniques. Do you LOVE parsing through BIG DATA and synthesizing information into...,SEM Data Scientist | Search Engine Marketing Analyst,16770.0
3,36,        MD Anderson Cancer Center,"Houston, TX",66800  100200 a year,Houston,Certified Medical Technologist (MT) or Medical Laboratory Scientist by the American Society of Clinical Pathologist (ASCP)....,"Supv, Cell Therapy Lab",83500.0
4,42,        MD Anderson Cancer Center,"Houston, TX",46500  83000 a year,Houston,Analyze data to ensure integrity and efficiency. We are committed to our patients and aim line of sight for combining scientific excellence with industry...,"Institute Assoc Scientist II - Program Biology, ORBIT",64750.0
5,46,        Baylor College of Medicine,"Houston, TX",54590 a year,Houston,Five years of clinical research or laboratory experience. Bachelor's degree in basic science or other relative scientific field....,Senior Research Quality Assurance Analyst,54590.0
6,53,        Baylor College of Medicine,"Houston, TX",70000  91000 a year,Houston,3 years’ experience in scientific programming with applications to genome research or a Master’s degree in Computer Science or Biological Sciences and 1 year of...,Sr. Bioinformatics Programmer,80500.0
7,54,        Baylor College of Medicine,"Houston, TX",83000  102000 a year,Houston,"PM, LIMS, QC, IT, Clinical feature requests. In this role, the Lead Programmer will work with internal and external collaborators to support the publication and...",Lead Bioinformatics Programmer,92500.0
8,56,        Baylor College of Medicine,"Houston, TX",65000 a year,Houston,"Using data from Principal Investigators and study coordinators, this position determines whether proposed clinical projects are a qualifying clinical trial as...",Research Financial Analyst II,65000.0
9,60,        Baylor College of Medicine,"Houston, TX",72000 a year,Houston,"Five years experience in biomedical research compliance, research, patient relations, health care, medical/academic setting, or communications....",Senior Research Policy Analyst,72000.0
10,66,    Rekruiters,"Houston, TX 77006 (Montrose area)",250000 a year,Houston,Working with our research scientists to deliver their algorithms and models. Analyzing system performance/trading data;...,C++ Software Engineer,250000.0
11,81,        Baylor College of Medicine,"Houston, TX",72120 a year,Houston,"The candidate will be required to interact with other staff scientists, informaticians, and collaborators. The Genome Assembly and Analysis group is responsible...",Bioinformatics Programmer II,72120.0
12,99,        Texas Department of Public Safety,"Houston, TX",3616  5433 a month,Houston,Salary is contingent upon qualifications and is subject to salary administration and budgetary restrictions. Ability to present scientific data and the results...,"Forensic Scientist I-III(DNA Analysis), LES-Houston",54294.0
13,116,    Career Evolutions,"Phoenix, AZ",150000 a year,Phoenix,"Act as the technical point of contact towards data scientists and business analyst, regarding operational aspects of our Corporate Data Platform....",Data Services Engineer,150000.0
14,121,        Maricopa County Community College District,"Phoenix, AZ",50958  60512 a year,Phoenix,All current MCCCD employees must be logged into HCM Self Service when applying for jobs. Two (2) or more years of experience with using database query software...,Institutional Research Analyst (Specially Funded/Open Until...,55735.0
15,127,        Arizona Supreme Court,"Phoenix, AZ",56677 a year,Phoenix,"Data Statistical Specialist VI. Under the general direction of the Operations and Research Manager, the Specialist VI is responsible for compiling and analyzing...",Data Statistical Specialist (Job 2105),56677.0
